modelo,umbral,accuracy_estandar,balanced_accuracy_estandar,recall_0_estandar,f1_0_estandar,f1_macro_estandar,roc_auc,pr_auc,precision_0_umbral,recall_0_umbral,f1_0_umbral,balanced_accuracy_umbral,f1_macro_umbral,cv_f1_macro,puntuacion_seleccion
Regresion_Logistica,0.5399999999999998,0.6465397120297259,0.5908882324260762,0.5294117647058824,0.12428078250863062,0.45143337932530747,0.6560788137780709,0.9702675772072065,0.06950207468879668,0.6568627450980392,0.12570356472795496,0.6097575548990928,0.4190246218701503,0.4620592050780313,0.46431014062443576
Random_Forest,0.8099999999999996,0.9451927542963307,0.5566557681092915,0.12745098039215685,0.18055555555555555,0.5761019007955577,0.6653091270637947,0.974450185457632,0.06355283307810107,0.8137254901960784,0.11789772727272728,0.6087154998518178,0.34466314935064934,0.5439990154682462,0.517068929165678
Balanced_Random_Forest,0.5799999999999997,0.8276823037621923,0.5788257282435159,0.30392156862745096,0.14318706697459585,0.5236978453902156,0.6786407395722794,0.9756404438498982,0.08083441981747067,0.6078431372549019,0.142692750287687,0.6320541868624583,0.4629669745037504,0.5404634467280783,0.4586526148111336
SVM,0.9499999999999995,0.9526242452392011,0.5,0.0,0.0,0.4878686964795433,0.624320035181308,0.967958655934294,0.06521739130434782,0.5,0.11538461538461539,0.5717942467089225,0.44343164141527674,0.487835342279715,0.3933173980986968
HistGradientBoosting,0.9499999999999995,0.9540176497909894,0.5193640596170209,0.0392156862745098,0.07476635514018691,0.5255946564936467,0.6485167445817918,0.9713175540505092,0.09090909090909091,0.49019607843137253,0.15337423312883436,0.6232062790986702,0.5011534548238589,0.50199701122461,0.41684730261331926
