umbral,precision_clase_0,recall_clase_0,f1_clase_0,balanced_accuracy,f1_macro,precision_clase_1,recall_clase_1,f1_clase_1,puntuacion
0.05,0.0,0.0,0.0,0.5,0.4878686964795433,0.9526242452392011,1.0,0.9757373929590866,0.14878686964795435
0.060000000000000005,0.0,0.0,0.0,0.5,0.4878686964795433,0.9526242452392011,1.0,0.9757373929590866,0.14878686964795435
0.07,0.0,0.0,0.0,0.5,0.4878686964795433,0.9526242452392011,1.0,0.9757373929590866,0.14878686964795435
0.08000000000000002,0.0,0.0,0.0,0.5,0.4878686964795433,0.9526242452392011,1.0,0.9757373929590866,0.14878686964795435
0.09000000000000001,0.0,0.0,0.0,0.499756216479766,0.48774684748988817,0.9526022304832714,0.999512432959532,0.9754936949797763,0.14872592804494203
0.1,0.0,0.0,0.0,0.4992686494392979,0.4875029754820281,0.9525581395348838,0.9985372988785958,0.9750059509640562,0.14860402743606238
0.11000000000000001,0.0,0.0,0.0,0.4992686494392979,0.4875029754820281,0.9525581395348838,0.9985372988785958,0.9750059509640562,0.14860402743606238
0.12000000000000001,0.14285714285714285,0.00980392156862745,0.01834862385321101,0.5034392596629096,0.49642711154538083,0.9529356943150047,0.9970745977571916,0.9745055992375506,0.15975671887053428
0.13,0.1111111111111111,0.00980392156862745,0.018018018018018018,0.5029516926224414,0.49601735227480165,0.9528917910447762,0.9960994636762555,0.9740166865315852,0.15951904778482484
0.14,0.15384615384615385,0.0196078431372549,0.034782608695652174,0.5071223028460531,0.504148641498864,0.9532710280373832,0.9946367625548513,0.9735146743020758,0.17011724458269462
0.15000000000000002,0.10526315789473684,0.0196078431372549,0.03305785123966942,0.5056596017246489,0.5025504309961788,0.9531396438612934,0.9917113603120429,0.9720430107526882,0.16914745607135045
0.16000000000000003,0.16666666666666666,0.0392156862745098,0.06349206349206349,0.5147321727325743,0.5176311992101466,0.9539689995302959,0.9902486591906388,0.9717703349282296,0.18944344802495247
0.17000000000000004,0.14814814814814814,0.0392156862745098,0.06201550387596899,0.5140008221718722,0.5165236724551021,0.9539040451552211,0.9887859580692345,0.9710318410342351,0.18874345735247927
0.18000000000000005,0.15151515151515152,0.049019607843137254,0.07407407407407407,0.5176838653550158,0.5220526208298925,0.9542452830188679,0.9863481228668942,0.9700311675857108,0.19757210051346955
0.19,0.13513513513513514,0.049019607843137254,0.07194244604316546,0.5167087312740796,0.5204924613225186,0.9541587901701323,0.984397854705022,0.9690424766018718,0.19658156933727233
0.2,0.18604651162790697,0.0784313725490196,0.1103448275862069,0.5306832630663186,0.5396713323223031,0.9554502369668246,0.9829351535836177,0.9689978370583994,0.22457978314096397
0.21000000000000002,0.1956521739130435,0.08823529411764706,0.12162162162162163,0.5350976568101643,0.5451782951782952,0.9558614143331752,0.9819600195026816,0.9687349687349688,0.23331796501340768
0.22000000000000003,0.23076923076923078,0.11764705882352941,0.15584415584415584,0.5490721886024034,0.5622669719490528,0.957163255592575,0.9804973183812774,0.9686897880539499,0.2598532051980445
0.23000000000000004,0.1935483870967742,0.11764705882352941,0.14634146341463414,0.5466343534000631,0.5562706834214648,0.9569583931133429,0.9756216479765968,0.9661999034282955,0.2559152015759611
0.24000000000000005,0.19444444444444445,0.13725490196078433,0.16091954022988506,0.5544880068068183,0.5627927807635388,0.9577126381547333,0.9717211116528522,0.9646660212971926,0.2703547022909968
0.25000000000000006,0.17045454545454544,0.14705882352941177,0.15789473684210525,0.5557332147876215,0.5595110224540945,0.9578692493946731,0.9644076060458313,0.9611273080660836,0.27328969566733
0.26000000000000006,0.15789473684210525,0.14705882352941177,0.15228426395939088,0.5540267301459832,0.5558208859344289,0.9577259475218659,0.9609946367625548,0.959357507909467,0.2708962432222215
0.27,0.17142857142857143,0.17647058823529413,0.17391304347826086,0.5670261278572862,0.5660977757035119,0.958984375,0.9575816674792784,0.9582825079287631,0.29277715147940436
0.28,0.1640625,0.20588235294117646,0.1826086956521739,0.5768563398055467,0.5682425225071468,0.96,0.9478303266699171,0.9538763493621197,0.30933107008394684
0.29000000000000004,0.14583333333333334,0.20588235294117646,0.17073170731707318,0.5729558034818023,0.5602427009491769,0.9596814335490294,0.9400292540224281,0.9497536945812808,0.3041878841628707
0.30000000000000004,0.1411042944785276,0.22549019607843138,0.17358490566037735,0.5786154052064512,0.5596951996750291,0.9603015075376884,0.931740614334471,0.9458054936896808,0.31396415113827897
0.31000000000000005,0.13043478260869565,0.23529411764705882,0.16783216783216784,0.5786416955860842,0.5543140938663327,0.9603859827323514,0.9219892735251097,0.9407960199004975,0.31562704591232404
0.32000000000000006,0.12307692307692308,0.23529411764705882,0.16161616161616163,0.5759600768635099,0.5497529548415055,0.9601634320735445,0.916626036079961,0.9378897480668495,0.31276980640052454
0.33,0.12149532710280374,0.2549019607843137,0.16455696202531644,0.5816196785881589,0.549195774245741,0.960804538421867,0.908337396392004,0.9338345864661655,0.3225713860635263
0.34,0.11739130434782609,0.2647058823529412,0.16265060240963855,0.5828648865689621,0.5463479484116638,0.9609984399375975,0.9010238907849829,0.930045294413689,0.32588530581902686
0.35000000000000003,0.11934156378600823,0.28431372549019607,0.1681159420289855,0.5899871894150152,0.547829745818835,0.9617801047120419,0.8956606533398342,0.9275435496086847,0.33694068526966064
