modelo,umbral,accuracy_estandar,balanced_accuracy_estandar,roc_auc,pr_auc,precision_class_0_estandar,recall_class_0_estandar,f1_class_0_estandar,f1_macro_estandar,precision_class_0_optimizado,recall_class_0_optimizado,f1_class_0_optimizado,balanced_accuracy_optimizada,precision_class_1_optimizado,recall_class_1_optimizado,f1_macro_optimizado,cv_f1_macro_mean,cv_f1_macro_std
Regresion_Logistica,0.34999999999999987,0.6502554575011612,0.6021548551161079,0.6566285217158535,0.9717275145077913,0.07339449541284404,0.5490196078431373,0.12947976878612716,0.45532401691268,0.11923076923076924,0.30392156862745096,0.1712707182320442,0.5961343581801322,0.9624933967247755,0.8883471477328133,0.5476029047549673,0.4655292838417456,0.0058290982847570665
Random_Forest,0.7099999999999996,0.9540176497909894,0.5193640596170209,0.6605242779705739,0.9726996027849761,0.8,0.0392156862745098,0.07476635514018691,0.5255946564936467,0.1388888888888889,0.19607843137254902,0.16260162601626016,0.5678100591772546,0.9591836734693877,0.9395416869819601,0.5559313548800513,0.4939107412983635,0.0042913150456194765
Balanced_Random_Forest,0.32999999999999985,0.6442173711100789,0.6269347329375436,0.6733683234385905,0.9745724033230825,0.07868020304568528,0.6078431372549019,0.1393258426966292,0.45754348340920453,0.18018018018018017,0.19607843137254902,0.18779342723004694,0.5758549153449776,0.9598432908912831,0.9556313993174061,0.5727630708102348,0.46013600273401334,0.006797531291480228
HistGradientBoosting,0.8199999999999996,0.9530887134231305,0.5188764925765528,0.6542050267205858,0.9724367990954452,0.5714285714285714,0.0392156862745098,0.07339449541284404,0.5246648436082566,0.25,0.14705882352941177,0.18518518518518517,0.5625591533541744,0.9584328714763497,0.9780594831789371,0.5766659516659517,0.5169773615411223,0.008291289078767887
