umbral,precision_clase_0,recall_clase_0,f1_clase_0,balanced_accuracy,f1_macro,precision_clase_1,recall_clase_1,f1_clase_1,puntuacion
0.05,0.0,0.0,0.0,0.5,0.4878686964795433,0.9526242452392011,1.0,0.9757373929590866,0.14878686964795435
0.060000000000000005,0.0,0.0,0.0,0.5,0.4878686964795433,0.9526242452392011,1.0,0.9757373929590866,0.14878686964795435
0.07,0.0,0.0,0.0,0.5,0.4878686964795433,0.9526242452392011,1.0,0.9757373929590866,0.14878686964795435
0.08000000000000002,0.0,0.0,0.0,0.5,0.4878686964795433,0.9526242452392011,1.0,0.9757373929590866,0.14878686964795435
0.09000000000000001,0.0,0.0,0.0,0.5,0.4878686964795433,0.9526242452392011,1.0,0.9757373929590866,0.14878686964795435
0.1,0.0,0.0,0.0,0.5,0.4878686964795433,0.9526242452392011,1.0,0.9757373929590866,0.14878686964795435
0.11000000000000001,0.0,0.0,0.0,0.5,0.4878686964795433,0.9526242452392011,1.0,0.9757373929590866,0.14878686964795435
0.12000000000000001,0.0,0.0,0.0,0.5,0.4878686964795433,0.9526242452392011,1.0,0.9757373929590866,0.14878686964795435
0.13,0.0,0.0,0.0,0.5,0.4878686964795433,0.9526242452392011,1.0,0.9757373929590866,0.14878686964795435
0.14,0.0,0.0,0.0,0.5,0.4878686964795433,0.9526242452392011,1.0,0.9757373929590866,0.14878686964795435
0.15000000000000002,0.0,0.0,0.0,0.5,0.4878686964795433,0.9526242452392011,1.0,0.9757373929590866,0.14878686964795435
0.16000000000000003,0.0,0.0,0.0,0.5,0.4878686964795433,0.9526242452392011,1.0,0.9757373929590866,0.14878686964795435
0.17000000000000004,0.0,0.0,0.0,0.5,0.4878686964795433,0.9526242452392011,1.0,0.9757373929590866,0.14878686964795435
0.18000000000000005,0.0,0.0,0.0,0.5,0.4878686964795433,0.9526242452392011,1.0,0.9757373929590866,0.14878686964795435
0.19,0.0,0.0,0.0,0.5,0.4878686964795433,0.9526242452392011,1.0,0.9757373929590866,0.14878686964795435
0.2,0.0,0.0,0.0,0.5,0.4878686964795433,0.9526242452392011,1.0,0.9757373929590866,0.14878686964795435
0.21000000000000002,1.0,0.0196078431372549,0.038461538461538464,0.5098039215686274,0.5073316735620401,0.9535099953509996,1.0,0.9762018086625417,0.172075550463293
0.22000000000000003,1.0,0.0196078431372549,0.038461538461538464,0.5098039215686274,0.5073316735620401,0.9535099953509996,1.0,0.9762018086625417,0.172075550463293
0.23000000000000004,1.0,0.0196078431372549,0.038461538461538464,0.5098039215686274,0.5073316735620401,0.9535099953509996,1.0,0.9762018086625417,0.172075550463293
0.24000000000000005,1.0,0.0196078431372549,0.038461538461538464,0.5098039215686274,0.5073316735620401,0.9535099953509996,1.0,0.9762018086625417,0.172075550463293
0.25000000000000006,1.0,0.0196078431372549,0.038461538461538464,0.5098039215686274,0.5073316735620401,0.9535099953509996,1.0,0.9762018086625417,0.172075550463293
0.26000000000000006,1.0,0.0196078431372549,0.038461538461538464,0.5098039215686274,0.5073316735620401,0.9535099953509996,1.0,0.9762018086625417,0.172075550463293
0.27,1.0,0.0196078431372549,0.038461538461538464,0.5098039215686274,0.5073316735620401,0.9535099953509996,1.0,0.9762018086625417,0.172075550463293
0.28,1.0,0.029411764705882353,0.05714285714285714,0.5147058823529411,0.5167885197401979,0.953953488372093,1.0,0.9764341823375386,0.18352759146981812
0.29000000000000004,1.0,0.0392156862745098,0.07547169811320754,0.5196078431372549,0.5260691823899372,0.9543973941368078,1.0,0.9766666666666667,0.1948562708102109
0.30000000000000004,1.0,0.0392156862745098,0.07547169811320754,0.5196078431372549,0.5260691823899372,0.9543973941368078,1.0,0.9766666666666667,0.1948562708102109
0.31000000000000005,1.0,0.0392156862745098,0.07547169811320754,0.5196078431372549,0.5260691823899372,0.9543973941368078,1.0,0.9766666666666667,0.1948562708102109
0.32000000000000006,1.0,0.0392156862745098,0.07547169811320754,0.5196078431372549,0.5260691823899372,0.9543973941368078,1.0,0.9766666666666667,0.1948562708102109
0.33,1.0,0.0392156862745098,0.07547169811320754,0.5196078431372549,0.5260691823899372,0.9543973941368078,1.0,0.9766666666666667,0.1948562708102109
0.34,1.0,0.0392156862745098,0.07547169811320754,0.5196078431372549,0.5260691823899372,0.9543973941368078,1.0,0.9766666666666667,0.1948562708102109
0.35000000000000003,1.0,0.0392156862745098,0.07547169811320754,0.5196078431372549,0.5260691823899372,0.9543973941368078,1.0,0.9766666666666667,0.1948562708102109
0.36000000000000004,1.0,0.049019607843137254,0.09345794392523364,0.5245098039215687,0.5351786028271084,0.9548417132216015,1.0,0.9768992617289831,0.20606504738184955
0.37000000000000005,1.0,0.049019607843137254,0.09345794392523364,0.5245098039215687,0.5351786028271084,0.9548417132216015,1.0,0.9768992617289831,0.20606504738184955
0.38000000000000006,0.8333333333333334,0.049019607843137254,0.09259259259259259,0.5242660204013346,0.534624071427311,0.9548206800186306,0.999512432959532,0.9766555502620295,0.2057012321380307
0.39000000000000007,0.8333333333333334,0.049019607843137254,0.09259259259259259,0.5242660204013346,0.534624071427311,0.9548206800186306,0.999512432959532,0.9766555502620295,0.2057012321380307
0.4000000000000001,0.625,0.049019607843137254,0.09090909090909091,0.5237784533608665,0.5335384348730392,0.9547785547785548,0.9985372988785958,0.9761677788369876,0.2049901045694594
