capital_prestado,plazo_meses,edad_cliente,salario_cliente,total_otros_prestamos,cuota_pactada,puntaje_datacredito,cant_creditosvigentes,huella_consulta,saldo_mora,saldo_total,saldo_principal,saldo_mora_codeudor,creditos_sectorFinanciero,creditos_sectorCooperativo,creditos_sectorReal,promedio_ingresos_datacredito,anio_prestamo,mes_prestamo,dia_semana_prestamo,hora_prestamo,relacion_cuota_salario,relacion_deuda_salario,saldo_pendiente_estimado,dia_prestamo,semana_anio_prestamo,trimestre_prestamo,es_fin_semana,tipo_credito_10,tipo_credito_4,tipo_credito_6,tipo_credito_68,tipo_credito_7,tipo_credito_9,tipo_laboral_Empleado,tipo_laboral_Independiente,tendencia_ingresos_Creciente,tendencia_ingresos_Decreciente,tendencia_ingresos_Estable
-0.26433555149321936,-0.6904377614031996,-1.0011472879851682,-0.04265735627716743,-0.05017462390827777,0.21021978089397886,0.2876695529194251,-1.177609559358378,-0.39184552541615125,-0.03749772373015956,-0.47402284530026506,-0.5602883605654797,-0.012981053410011292,-0.6410659326045459,-0.38186134682906414,-0.7080757272227715,0.18200114418920915,0.2842705887611302,0.19777685659855432,-0.067931036661402,1.44388522642295,0.033934616071505226,-0.024323626893726365,-0.23885516711691399,-0.46390530563822524,0.19862765194150592,-0.09113691448696447,-0.6344356168134115,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.5353671051916215,3.824043652388985,0.3447491958967988,-0.043167893934485016,-0.05058112351161748,-0.6200633029288082,-0.00840491646828745,-1.427658100779267,-1.0467596230252096,-0.03749772373015956,-0.47402284530026506,-0.3561545844409412,-0.012981053410011292,-1.0043394405501258,-0.38186134682906414,-0.7080757272227715,-0.16222023549225736,-2.3588933088982653,1.543272064652878,0.9691012783291499,0.7676898606627324,-0.024851417747127826,-0.024943572970848506,-0.26939118563154235,1.5950323577488181,1.6951790264471867,1.682171184344138,1.5762040678338864,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.7939254425813248,3.824043652388985,-1.0852658182277912,-0.04418896924912018,-0.050434783654415186,-0.5015466890868193,-0.13256517782442498,1.3228758548505133,1.2454397186064945,-0.03749772373015956,-0.35376505077932,-0.39692936048958294,-0.012981053410011292,0.44875459123219363,-0.38186134682906414,0.380299174390736,-0.292473773064532,0.2842705887611302,0.46687589820941905,-1.104963351651954,0.4295921777826236,0.0010231913081502285,-0.02357969160117979,0.9390512705329803,1.4806469320050937,0.6351218028389961,0.7955171349285868,-0.6344356168134115,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2.9896078076453536,2.0182510868721115,-0.0758434553163159,-0.018406817554582226,-0.050337223749613656,0.5683558031511864,-0.18031912449986248,0.572730230587846,0.263068572192907,-0.03749772373015956,2.4596444749369986,0.10663334824711287,-0.012981053410011292,0.44875459123219363,-0.38186134682906414,-0.16388827641601775,5.407503737398876,0.2842705887611302,-0.3404212266231751,-1.104963351651954,1.1057875435428413,-0.04735457531793562,-0.02746109312750974,3.376397737844797,-0.12074902840705132,-0.3002228062270544,-0.09113691448696447,-0.6344356168134115,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
-0.6173986041675811,-0.08850690623090823,-0.15996198555893884,-0.04265735627716743,-0.046922627081560024,-0.6107378114522524,-0.12301438848933746,0.572730230587846,-0.39184552541615125,-0.03749772373015956,-0.27709725231020416,-0.29278330537667474,-0.012981053410011292,0.8120280991777734,-0.38186134682906414,0.9244866251974898,0.5038709406259564,0.2842705887611302,-0.8786193098449046,-0.067931036661402,-1.937091602378138,-0.02867688939681504,-0.01688427396826062,-0.6446986952435121,0.45117810031157185,-0.7990732643956147,-0.9777909639025157,-0.6344356168134115,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
-0.7120909106111895,-0.6904377614031996,-0.24408051580156176,-0.04393370042046139,-0.04448362946152171,-0.40214304628437,0.2303648169089001,-0.17741539367482137,-0.7193025742206804,-0.03749772373015956,-0.435981246697608,-0.5086123961610574,-0.012981053410011292,-0.6410659326045459,1.0237932902800604,-0.16388827641601775,-0.3128371172788857,0.2842705887611302,0.19777685659855432,1.4876174358244258,-0.24660318797759392,0.006381969707366026,-0.005725244580062004,-0.7420586430546406,-0.12074902840705132,0.19862765194150592,-0.09113691448696447,1.5762040678338864,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
-0.951971043677198,-0.38947233381705393,-1.6740955299261517,-0.03499929141740368,-0.03554063818804792,-0.8642502018067526,-0.6674093805893251,1.0728273134296242,1.9003538162155527,-0.03749772373015956,-0.08247817703368797,-0.028411439423902042,-0.012981053410011292,0.44875459123219363,-0.38186134682906414,0.9244866251974898,-0.4332144384609391,0.2842705887611302,-0.8786193098449046,-0.586447194156678,-1.2608962366179204,-0.06133556208959503,-0.013164597505527747,-1.0297218961259844,1.1374906547739196,-0.7367169571245447,-0.9777909639025157,-0.6344356168134115,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
-0.6358902480529796,-0.6904377614031996,-0.3281990460441847,-0.04081942071082413,-0.04123163263480397,-0.28490285313478,0.4882361289562626,-0.9275610179374887,0.5905256209974361,-0.03749772373015956,0.015150234021189209,-0.5602883605654797,-0.012981053410011292,-0.6410659326045459,-0.38186134682906414,-0.16388827641601775,-0.553499567553875,0.2842705887611302,1.2741730230420132,-1.6234795091472298,-1.2608962366179204,-0.02140090251707036,-0.010265437909574184,-0.654708556696154,-1.150217860100573,1.2586848755496964,1.682171184344138,-0.6344356168134115,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
-0.46056105735818975,0.06197580756216461,1.0176974378377823,-0.04010466799057951,-0.031475642154650735,-0.5794750300160357,0.9753263850457252,-0.17741539367482137,0.5905256209974361,-0.03749772373015956,-0.283198363681516,-0.5585701600166878,-0.012981053410011292,0.08548108328661379,1.0237932902800604,-0.16388827641601775,-0.2658980149413319,-2.3588933088982653,1.8123711062637426,1.4876174358244258,-1.937091602378138,-0.040934510343211106,0.0029540004996480326,-0.4585443431600202,-1.7221449888191962,1.6951790264471867,1.682171184344138,1.5762040678338864,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.9265534723601262,-0.6904377614031996,-0.4964361065294306,-0.0406152056478971,-0.043670630254842274,-0.7039927262178103,0.020247451536975054,-0.6775124765165996,-0.7193025742206804,-0.03749772373015956,-0.46817683266224847,-0.5523470975248449,-0.012981053410011292,-0.6410659326045459,-0.38186134682906414,-0.7080757272227715,-0.6460615357759193,0.2842705887611302,-0.07132218501231039,0.9691012783291499,-0.5847008708577027,-0.04562603600677079,-0.014758744560984692,-0.9803434122389086,-0.6926761571256745,-0.11315388441384426,-0.09113691448696447,1.5762040678338864,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
