indicador,valor
Registros,10763.0
Columnas,30.0
Celdas totales,322890.0
Valores nulos,7996.0
Porcentaje total de nulos,2.4763851466443683
Variables numéricas,26.0
Variables categóricas,3.0
Variables de fecha,1.0
